id_encuesta,fecha,area_servicio,genero,tipo_cliente,turno,satisfaccion_general,amabilidad_personal,tiempo_espera,calidad_servicio,limpieza_instalaciones,claridad_informacion,resolucion_problema,probabilidad_recomendar,edad_cliente,tiempo_atencion_minutos
1,2025-11-01,Planta de alimentos,Masculino,Frecuente,Mañana,10,10,8,10,10,9,9,10,40,2
2,2025-11-01,Farmacia,Masculino,Nuevo,Mañana,7,5,7,6,8,8,7,9,56,8
3,2025-11-01,Movilización,Femenino,Nuevo,Tarde,5,6,6,6,5,7,5,6,56,24
4,2025-11-01,Movilización,Femenino,Frecuente,Tarde,8,8,6,6,6,7,8,7,29,15
5,2025-11-01,Movilización,Masculino,Frecuente,Noche,9,9,7,9,9,8,9,10,70,12
6,2025-11-01,Planta de alimentos,Masculino,Nuevo,Mañana,10,9,7,6,6,10,6,9,57,2
7,2025-11-01,Planta de alimentos,Femenino,Frecuente,Tarde,6,6,5,7,8,6,6,4,63,2
8,2025-11-01,Movilización,Masculino,Frecuente,Tarde,7,6,6,6,7,7,9,7,18,15
9,2025-11-01,Farmacia,Masculino,Frecuente,Tarde,7,7,7,8,7,6,8,6,49,11
10,2025-11-01,Planta de alimentos,Femenino,Nuevo,Tarde,7,7,6,7,8,8,6,6,31,12
11,2025-11-01,Movilización,Masculino,Nuevo,Mañana,6,8,8,8,6,9,5,7,60,24
12,2025-11-01,Farmacia,Femenino,Frecuente,Noche,6,6,3,6,6,6,5,6,75,14
13,2025-11-01,Planta de alimentos,Femenino,Nuevo,Tarde,6,7,5,6,8,7,6,5,31,7
14,2025-11-01,Farmacia,Masculino,Nuevo,Noche,6,5,5,5,5,6,2,5,55,12
15,2025-11-02,Farmacia,Femenino,Frecuente,Mañana,7,10,7,8,8,8,7,8,44,15
16,2025-11-02,Movilización,Femenino,Frecuente,Mañana,9,7,8,9,9,9,7,9,38,14
17,2025-11-02,Movilización,Otro,Nuevo,Mañana,8,7,8,7,6,7,8,10,32,20
18,2025-11-02,Planta de alimentos,Femenino,Frecuente,Tarde,10,9,9,8,9,9,10,9,42,2
19,2025-11-02,Farmacia,Otro,Nuevo,Noche,7,5,8,4,6,6,4,6,38,11
20,2025-11-02,Movilización,Femenino,Nuevo,Tarde,7,6,5,8,4,7,7,6,18,19
21,2025-11-02,Movilización,Femenino,Nuevo,Mañana,6,6,5,6,7,6,4,5,37,16
22,2025-11-03,Movilización,Femenino,Nuevo,Noche,5,5,4,4,4,4,5,4,60,18
23,2025-11-03,Movilización,Masculino,Frecuente,Mañana,6,5,4,6,8,7,8,7,42,7
24,2025-11-03,Movilización,Masculino,Frecuente,Mañana,6,9,6,6,8,8,5,6,45,12
25,2025-11-03,Farmacia,Masculino,Frecuente,Tarde,8,8,7,8,8,8,8,8,45,7
26,2025-11-03,Movilización,Femenino,Frecuente,Tarde,8,9,7,8,7,7,7,7,60,13
27,2025-11-03,Movilización,Masculino,Frecuente,Tarde,7,7,8,7,10,7,7,7,56,23
28,2025-11-03,Movilización,Masculino,Frecuente,Mañana,8,9,6,7,9,9,7,9,50,12
29,2025-11-03,Movilización,Masculino,Nuevo,Tarde,6,7,6,7,6,6,5,7,55,12
30,2025-11-03,Farmacia,Femenino,Frecuente,Tarde,7,7,9,9,8,7,8,7,46,9
31,2025-11-03,Farmacia,Masculino,Frecuente,Noche,7,5,6,6,5,5,6,7,43,12
